,day,krs_P0,krs_P1,krs_P2,krs_P3
238,15.0,-0.0,-0.0,-0.0,-0.0
239,16.0,-0.0,-0.0,-0.0,-0.0
240,17.0,-0.0,-0.0,-0.0,-0.0
241,18.0,-0.0,-0.0,-0.0,-0.0
242,19.0,-0.0,-0.0,-0.0,-0.0
243,20.0,-0.0,-0.0,-0.0,-0.0
244,21.0,-0.0,-0.0,-0.0,-0.0
245,22.0,-0.0,-0.0,-0.0,-0.0
246,23.0,-0.0,-0.0,-0.0,-0.0
247,24.0,-0.0,-0.0,-0.0,-0.0
248,25.0,-0.0,-0.0,-0.0,-0.0
249,26.0,-0.0,-0.0,-0.0,-0.0
250,27.0,-0.0,-0.0,-0.0,-0.0
251,28.0,-0.0,-0.0,-0.0,-0.0
252,1.0,-0.0,-0.0,-0.0,-0.0
253,2.0,-0.0,-0.0,-0.0,-0.0
254,3.0,-0.0,-0.0,-0.0,-0.0
255,4.0,-0.0,-0.0,-0.0,-0.0
256,5.0,-0.0,-0.0,-0.0,-0.0
257,6.0,-0.0,-0.0,-0.0,-0.0
258,7.0,-0.0,-0.0,-0.0,-0.0
259,8.0,-0.0,-0.0,-0.0,-0.0
260,9.0,-0.0,-0.0,-0.0,-0.0
261,10.0,-0.0,-0.0,-0.0,-0.0
262,11.0,-0.0,-0.0,-0.0,-0.0
263,12.0,-0.0,-0.0,-0.0,-0.0
264,13.0,-0.0,-0.0,-0.0,-0.0
265,14.0,-0.0,-0.0,-0.0,-0.0
266,15.0,-0.0,-0.0,-0.0,-0.0
267,16.0,-0.0,-0.0,-0.0,-0.0
268,17.0,-0.0,-0.0,-0.0,-0.0
269,18.0,-0.0,-0.0,-0.0,-0.0
270,19.0,-0.0,-0.0,-0.0,-0.0
271,20.0,-0.0,-0.0,-0.0,-0.0
272,21.0,-0.0,-0.0,-0.0,-0.0
273,22.0,-0.0,-0.0,-0.0,-0.0
274,23.0,-0.0,-0.0,-0.0,-0.0
275,24.0,-0.0,-0.0,-0.0,-0.0
276,25.0,-0.0,-0.0,-0.0,-0.0
277,26.0,-0.0,-0.0,-0.0,-0.0
278,27.0,-0.0,-0.0,-0.0,-0.0
279,28.0,-0.0,-0.0,-0.0,-0.0
280,1.0,-0.0,-0.0,-0.0,-0.0
281,2.0,-0.0,-0.0,-0.0,-0.0
282,3.0,-0.0,-0.0,-0.0,-0.0
283,4.0,-0.0,-0.0,-0.0,-0.0
284,5.0,-0.0,-0.0,-0.0,-0.0
285,6.0,-0.0,-0.0,-0.0,-0.0
286,7.0,-0.0,-0.0,-0.0,-0.0
287,8.0,-0.0,-0.0,-0.0,-0.0
288,9.0,-0.0,-0.0,-0.0,-0.0
289,10.0,-0.0,-0.0,-0.0,-0.0
290,11.0,-0.0,-0.0,-0.0,-0.0
291,12.0,-0.0,-0.0,-0.0,-0.0
292,13.0,-0.0,-0.0,-0.0,-0.0
293,14.0,-0.0,-0.0,-0.0,-0.0
294,15.0,-0.0,-0.0,-0.0,-0.0
295,16.0,-0.0,-0.0,-0.0,-0.0
296,17.0,-0.0,-0.0,-0.0,-0.0
297,18.0,-0.0,-0.0,-0.0,-0.0
298,19.0,-0.0,-0.0,-0.0,-0.0
299,20.0,-0.0,-0.0,-0.0,-0.0
300,21.0,-0.0,-0.0,-0.0,-0.0
301,22.0,-0.0,-0.0,-0.0,-0.0
302,23.0,-0.0,-0.0,-0.0,-0.0
303,24.0,-0.0,-0.0,-0.0,-0.0
304,25.0,-0.0,-0.0,-0.0,-0.0
305,26.0,-0.0,-0.0,-0.0,-0.0
306,27.0,-0.0,-0.0,-0.0,-0.0
307,28.0,-0.0,-0.0,-0.0,-0.0
308,1.0,-0.0,-0.0,-0.0,-0.0
309,2.0,-0.0,-0.0,-0.0,-0.0
310,3.0,-0.0,-0.0,-0.0,-0.0
311,4.0,-0.0,-0.0,-0.0,-0.0
312,5.0,-0.0,-0.0,-0.0,-0.0
313,6.0,-0.0,-0.0,-0.0,-0.0
314,7.0,-0.0,-0.0,-0.0,-0.0
315,8.0,-0.0,-0.0,-0.0,-0.0
316,9.0,-0.0,-0.0,-0.0,-0.0
317,10.0,-0.0,-0.0,-0.0,-0.0
318,11.0,-0.0,-0.0,-0.0,-0.0
319,12.0,-0.0,-0.0,-0.0,-0.0
320,13.0,-0.0,-0.0,-0.0,-0.0
321,14.0,-0.0,-0.0,-0.0,-0.0
322,15.0,-0.0,-0.0,-0.0,-0.0
323,16.0,-0.0,-0.0,-0.0,-0.0
324,17.0,-0.0,-0.0,-0.0,-0.0
325,18.0,-0.0,-0.0,-0.0,-0.0
326,19.0,-0.0,-0.0,-0.0,-0.0
327,20.0,-0.0,-0.0,-0.0,-0.0
328,21.0,-0.0,-0.0,-0.0,-0.0
329,22.0,-0.0,-0.0,-0.0,-0.0
330,23.0,-0.0,-0.0,-0.0,-0.0
331,24.0,-0.0,-0.0,-0.0,-0.0
332,25.0,-0.0,-0.0,-0.0,-0.0
333,26.0,-0.0,-0.0,-0.0,-0.0
334,27.0,-0.0,-0.0,-0.0,-0.0
335,28.0,-0.0,-0.0,-0.0,-0.0
336,1.0,-0.0,-0.0,-0.0,-0.0
337,2.0,-0.0,-0.0,-0.0,-0.0
338,3.0,-0.0,-0.0,-0.0,-0.0
339,4.0,-0.0,-0.0,-0.0,-0.0
340,5.0,-0.0,-0.0,-0.0,-0.0
341,6.0,-0.0,-0.0,-0.0,-0.0
342,7.0,-0.0,-0.0,-0.0,-0.0
343,8.0,-0.0,-0.0,-0.0,-0.0
344,9.0,-0.0,-0.0,-0.0,-0.0
345,10.0,-0.0,-0.0,-0.0,-0.0
346,11.0,-0.0,-0.0,-0.0,-0.0
347,12.0,-0.0,-0.0,-0.0,-0.0
348,13.0,-0.0,-0.0,-0.0,-0.0
349,14.0,-0.0,-0.0,-0.0,-0.0
350,15.0,-0.0,-0.0,-0.0,-0.0
351,16.0,-0.0,-0.0,-0.0,-0.0
352,17.0,-0.0,-0.0,-0.0,-0.0
353,18.0,-0.0,-0.0,-0.0,-0.0
354,19.0,-0.0,-0.0,-0.0,-0.0
355,20.0,-0.0,-0.0,-0.0,-0.0
356,21.0,-0.0,-0.0,-0.0,-0.0
357,22.0,-0.0,-0.0,-0.0,-0.0
358,23.0,-0.0,-0.0,-0.0,-0.0
359,24.0,-0.0,-0.0,-0.0,-0.0
360,25.0,-0.0,-0.0,-0.0,-0.0
361,26.0,-0.0,-0.0,-0.0,-0.0
362,27.0,-0.0,-0.0,-0.0,-0.0
363,28.0,-0.0,-0.0,-0.0,-0.0
364,1.0,-0.0,-0.0,-0.0,-0.0
365,2.0,-0.0,-0.0,-0.0,-0.0
366,3.0,-0.0,-0.0,-0.0,-0.0
367,4.0,-0.0,-0.0,-0.0,-0.0
368,5.0,-0.0,-0.0,-0.0,-0.0
369,6.0,-0.0,-0.0,-0.0,-0.0
370,7.0,-0.0,-0.0,-0.0,-0.0
371,8.0,-0.0,-0.0,-0.0,-0.0
372,9.0,-0.0,-0.0,-0.0,-0.0
373,10.0,-0.0,-0.0,-0.0,-0.0
374,11.0,-0.0,-0.0,-0.0,-0.0
375,12.0,-0.0,-0.0,-0.0,-0.0
376,13.0,-0.0,-0.0,-0.0,-0.0
377,14.0,-0.0,-0.0,-0.0,-0.0
378,15.0,-0.0,-0.0,-0.0,-0.0
379,16.0,-0.0,-0.0,-0.0,-0.0
380,17.0,-0.0,-0.0,-0.0,-0.0
381,18.0,-0.0,-0.0,-0.0,-0.0
382,19.0,-0.0,-0.0,-0.0,-0.0
383,20.0,-0.0,-0.0,-0.0,-0.0
384,21.0,-0.0,-0.0,-0.0,-0.0
385,22.0,-0.0,-0.0,-0.0,-0.0
386,23.0,-0.0,-0.0,-0.0,-0.0
387,24.0,-0.0,-0.0,-0.0,-0.0
388,25.0,-0.0,-0.0,-0.0,-0.0
389,26.0,-0.0,-0.0,-0.0,-0.0
390,27.0,-0.0,-0.0,-0.0,-0.0
391,28.0,-0.0,-0.0,-0.0,-0.0
392,1.0,-0.0,-0.0,-0.0,-0.0
393,2.0,-0.0,-0.0,-0.0,-0.0
394,3.0,-0.0,-0.0,-0.0,-0.0
395,4.0,-0.0,-0.0,-0.0,-0.0
396,5.0,-0.0,-0.0,-0.0,-0.0
397,6.0,-0.0,-0.0,-0.0,-0.0
398,7.0,-0.0,-0.0,-0.0,-0.0
399,8.0,-0.0,-0.0,-0.0,-0.0
400,9.0,-0.0,-0.0,-0.0,-0.0
401,10.0,-0.0,-0.0,-0.0,-0.0
402,11.0,-0.0,-0.0,-0.0,-0.0
403,12.0,-0.0,-0.0,-0.0,-0.0
404,13.0,-0.0,-0.0,-0.0,-0.0
405,14.0,-0.0,-0.0,-0.0,-0.0
406,15.0,-0.0,-0.0,-0.0,-0.0
407,16.0,-0.0,-0.0,-0.0,-0.0
408,17.0,-0.0,-0.0,-0.0,-0.0
409,18.0,-0.0,-0.0,-0.0,-0.0
410,19.0,-0.0,-0.0,-0.0,-0.0
411,20.0,-0.0,-0.0,-0.0,-0.0
412,21.0,-0.0,-0.0,-0.0,-0.0
413,22.0,-0.0,-0.0,-0.0,-0.0
414,23.0,-0.0,-0.0,-0.0,-0.0
415,24.0,-0.0,-0.0,-0.0,-0.0
416,25.0,-0.0,-0.0,-0.0,-0.0
417,26.0,-0.0,-0.0,-0.0,-0.0
418,27.0,-0.0,-0.0,-0.0,-0.0
419,28.0,-0.0,-0.0,-0.0,-0.0
420,1.0,-0.0,-0.0,-0.0,-0.0
421,2.0,-0.0,-0.0,-0.0,-0.0
422,3.0,-0.0,-0.0,-0.0,-0.0
423,4.0,-0.0,-0.0,-0.0,-0.0
424,5.0,-0.0,-0.0,-0.0,-0.0
425,6.0,-0.0,-0.0,-0.0,-0.0
426,7.0,-0.0,-0.0,-0.0,-0.0
427,8.0,-0.0,-0.0,-0.0,-0.0
428,9.0,-0.0,-0.0,-0.0,-0.0
429,10.0,-0.0,-0.0,-0.0,-0.0
430,11.0,-0.0,-0.0,-0.0,-0.0
431,12.0,-0.0,-0.0,-0.0,-0.0
432,13.0,-0.0,-0.0,-0.0,-0.0
433,14.0,-0.0,-0.0,-0.0,-0.0
434,15.0,-0.0,-0.0,-0.0,-0.0
435,16.0,-0.0,-0.0,-0.0,-0.0
436,17.0,-0.0,-0.0,-0.0,-0.0
437,18.0,-0.0,-0.0,-0.0,-0.0
438,19.0,-0.0,-0.0,-0.0,-0.0
439,20.0,-0.0,-0.0,-0.0,-0.0
440,21.0,-0.0,-0.0,-0.0,-0.0
441,22.0,-0.0,-0.0,-0.0,-0.0
442,23.0,-0.0,-0.0,-0.0,-0.0
443,24.0,-0.0,-0.0,-0.0,-0.0
444,25.0,-0.0,-0.0,-0.0,-0.0
445,26.0,-0.0,-0.0,-0.0,-0.0
446,27.0,-0.0,-0.0,-0.0,-0.0
447,28.0,-0.0,-0.0,-0.0,-0.0
448,1.0,-0.0,-0.0,-0.0,-0.0
449,2.0,-0.0,-0.0,-0.0,-0.0
450,3.0,-0.0,-0.0,-0.0,-0.0
451,4.0,-0.0,-0.0,-0.0,-0.0
452,5.0,-0.0,-0.0,-0.0,-0.0
453,6.0,-0.0,-0.0,-0.0,-0.0
454,7.0,-0.0,-0.0,-0.0,-0.0
455,8.0,-0.0,-0.0,-0.0,-0.0
456,9.0,-0.0,-0.0,-0.0,-0.0
457,10.0,-0.0,-0.0,-0.0,-0.0
458,11.0,-0.0,-0.0,-0.0,-0.0
459,12.0,-0.0,-0.0,-0.0,-0.0
460,13.0,-0.0,-0.0,-0.0,-0.0
461,14.0,-0.0,-0.0,-0.0,-0.0
462,15.0,-0.0,-0.0,-0.0,-0.0
463,16.0,-0.0,-0.0,-0.0,-0.0
464,17.0,-0.0,-0.0,-0.0,-0.0
465,18.0,-0.0,-0.0,-0.0,-0.0
466,19.0,-0.0,-0.0,-0.0,-0.0
467,20.0,-0.0,-0.0,-0.0,-0.0
468,21.0,-0.0,-0.0,-0.0,-0.0
469,22.0,-0.0,-0.0,-0.0,-0.0
470,23.0,-0.0,-0.0,-0.0,-0.0
471,24.0,-0.0,-0.0,-0.0,-0.0
472,25.0,-0.0,-0.0,-0.0,-0.0
473,26.0,-0.0,-0.0,-0.0,-0.0
474,27.0,-0.0,-0.0,-0.0,-0.0
475,28.0,-0.0,-0.0,-0.0,-0.0
476,1.0,-0.0,-0.0,-0.0,-0.0
477,2.0,-0.0,-0.0,-0.0,-0.0
478,3.0,-0.0,-0.0,-0.0,-0.0
479,4.0,-0.0,-0.0,-0.0,-0.0
480,5.0,-0.0,-0.0,-0.0,-0.0
481,6.0,-0.0,-0.0,-0.0,-0.0
482,7.0,-0.0,-0.0,-0.0,-0.0
483,8.0,-0.0,-0.0,-0.0,-0.0
484,9.0,-0.0,-0.0,-0.0,-0.0
485,10.0,-0.0,-0.0,-0.0,-0.0
486,11.0,-0.0,-0.0,-0.0,-0.0
487,12.0,-0.0,-0.0,-0.0,-0.0
488,13.0,-0.0,-0.0,-0.0,-0.0
489,14.0,-0.0,-0.0,-0.0,-0.0
490,15.0,-0.0,-0.0,-0.0,-0.0
491,16.0,-0.0,-0.0,-0.0,-0.0
492,17.0,-0.0,-0.0,-0.0,-0.0
493,18.0,-0.0,-0.0,-0.0,-0.0
494,19.0,-0.0,-0.0,-0.0,-0.0
495,20.0,-0.0,-0.0,-0.0,-0.0
496,21.0,-0.0,-0.0,-0.0,-0.0
497,22.0,-0.0,-0.0,-0.0,-0.0
498,23.0,-0.0,-0.0,-0.0,-0.0
499,24.0,-0.0,-0.0,-0.0,-0.0
500,25.0,-0.0,-0.0,-0.0,-0.0
501,26.0,-0.0,-0.0,-0.0,-0.0
502,27.0,-0.0,-0.0,-0.0,-0.0
503,28.0,-0.0,-0.0,-0.0,-0.0
504,1.0,-0.0,-0.0,-0.0,-0.0
505,2.0,-0.0,-0.0,-0.0,-0.0
506,3.0,-0.0,-0.0,-0.0,-0.0
507,4.0,-0.0,-0.0,-0.0,-0.0
508,5.0,-0.0,-0.0,-0.0,-0.0
509,6.0,-0.0,-0.0,-0.0,-0.0
510,7.0,-0.0,-0.0,-0.0,-0.0
511,8.0,-0.0,-0.0,-0.0,-0.0
512,9.0,-0.0,-0.0,-0.0,-0.0
513,10.0,-0.0,-0.0,-0.0,-0.0
514,11.0,-0.0,-0.0,-0.0,-0.0
515,12.0,-0.0,-0.0,-0.0,-0.0
516,13.0,-0.0,-0.0,-0.0,-0.0
517,14.0,-0.0,-0.0,-0.0,-0.0
518,15.0,-0.0,-0.0,-0.0,-0.0
519,16.0,-0.0,-0.0,-0.0,-0.0
520,17.0,-0.0,-0.0,-0.0,-0.0
521,18.0,-0.0,-0.0,-0.0,-0.0
522,19.0,-0.0,-0.0,-0.0,-0.0
523,20.0,-0.0,-0.0,-0.0,-0.0
524,21.0,-0.0,-0.0,-0.0,-0.0
525,22.0,-0.0,-0.0,-0.0,-0.0
526,23.0,-0.0,-0.0,-0.0,-0.0
527,24.0,-0.0,-0.0,-0.0,-0.0
528,25.0,-0.0,-0.0,-0.0,-0.0
529,26.0,-0.0,-0.0,-0.0,-0.0
530,27.0,-0.0,-0.0,-0.0,-0.0
531,28.0,-0.0,-0.0,-0.0,-0.0
532,1.0,-0.0,-0.0,-0.0,-0.0
533,2.0,-0.0,-0.0,-0.0,-0.0
534,3.0,-0.0,-0.0,-0.0,-0.0
535,4.0,-0.0,-0.0,-0.0,-0.0
